id,query,category,urgency,manuscript_id,resolution,tags,created_date,resolution_time_hours
CASE_0011,"When can I expect a final decision on MS-2024-1106? I submitted revisions 3 weeks ago.",decision_timeline,medium,MS-2024-1106,"Your revised manuscript MS-2024-1106 is currently being reviewed by the Associate Editor. Since this is a revision review, the process typically takes 2-3 weeks. You should receive the final decision by November 22, 2024.","['revision_review', 'associate_editor']",2024-09-10,2.0
CASE_0012,"How long does the decision process take after peer review? My manuscript is MS-2024-1207.",decision_timeline,low,MS-2024-1207,"For MS-2024-1207, after peer reviews are completed, the Associate Editor typically takes 5-7 business days to review the feedback and make a recommendation. The Editor-in-Chief then makes the final decision within 3-5 business days. Total timeline is usually 10-14 business days.","['decision_process', 'timeline_explanation']",2024-10-10,1.5
CASE_0013,"I got minor revisions for MS-2024-1308. Is the revision deadline the same as major revisions?",decision_timeline,low,MS-2024-1308,"For minor revisions on MS-2024-1308, you have 30 days from the decision date to submit your revised manuscript (rather than 60 days for major revisions). Your deadline is December 1, 2024. The re-review process for minor revisions is typically faster, around 1-2 weeks.","['minor_revision', 'shorter_deadline']",2024-07-30,1.0
CASE_0014,"I'm ready to submit my revised manuscript for MS-2024-1409. What's the process?",revision_submission,low,MS-2024-1409,"To submit your revisions for MS-2024-1409: 1) Log into the submission portal, 2) Click 'Revisions' and find MS-2024-1409, 3) Upload your revised manuscript and response to reviewers letter, 4) Click 'Submit Revision'. Please ensure you address all reviewer comments in your response letter.","['submission_process', 'instructions']",2024-08-18,1.5
CASE_0015,"Can I get an extension for submitting revisions? My manuscript is MS-2024-1510 and the deadline is in 5 days.",revision_submission,medium,MS-2024-1510,"We can grant a 2-week extension for MS-2024-1510 revisions. Your new deadline will be December 8, 2024. Please note that this is typically the maximum extension we can offer. If you need additional time beyond this, please provide justification to the handling editor.","['extension_request', 'deadline_extended']",2024-09-25,2.0
CASE_0016,"I submitted my revisions for MS-2024-1611 but forgot to include the response to reviewers letter. Can I upload it separately?",revision_submission,medium,MS-2024-1611,"Yes, you can upload the response letter for MS-2024-1611. Please log back into the submission system, navigate to MS-2024-1611, and use the 'Upload Additional File' option. Select 'Response to Reviewers' as the file type. We'll notify the editor once it's uploaded.","['missing_document', 'additional_upload']",2024-10-05,1.5
CASE_0017,"Do I need to submit a clean copy and tracked changes version for MS-2024-1712 revisions?",revision_submission,low,MS-2024-1712,"Yes, for MS-2024-1712 revisions, please submit both: 1) A clean manuscript file without tracked changes, 2) A marked-up version showing all changes. This helps reviewers quickly identify your modifications while having a clean version for final review.","['submission_requirements', 'file_formats']",2024-07-25,1.0
CASE_0018,"I need to withdraw my manuscript MS-2024-1813. We've decided to submit it elsewhere.",withdrawal_request,medium,MS-2024-1813,"We've processed the withdrawal request for MS-2024-1813. The manuscript has been removed from the review process, and reviewers have been notified. You are free to submit it to another journal. We've sent a withdrawal confirmation email to your registered address.","['withdrawal_processed', 'confirmation']",2024-08-22,2.5
CASE_0019,"Can I withdraw MS-2024-1914 and resubmit it later with additional data?",withdrawal_request,low,MS-2024-1914,"Yes, you can withdraw MS-2024-1914 now and resubmit later. However, please note that upon resubmission, it will be treated as a new submission and will go through the full review process again. If the additional data is minor, you might consider waiting for the review decision and incorporating it during revisions.","['withdrawal_advice', 'resubmission_option']",2024-09-12,1.5
CASE_0020,"I want to withdraw MS-2024-2015 immediately. My co-author disagrees with submission to this journal.",withdrawal_request,high,MS-2024-2015,"We've received your withdrawal request for MS-2024-2015. However, since this involves a co-author dispute, we require written confirmation from all listed authors before processing the withdrawal. Please have all authors send their consent to editorial@journal.com within 48 hours.","['coauthor_dispute', 'confirmation_required']",2024-10-08,2.0
CASE_0021,"What is the status of MS-2024-3210? I haven't received any communication in 5 weeks.",status_inquiry,medium,MS-2024-3210,"MS-2024-3210 is currently with two peer reviewers. One review has been received and is positive. We are following up with the second reviewer who requested an extension. You should receive the complete review feedback by November 25, 2024.","['partial_review', 'followup']",2024-08-30,2.5
CASE_0022,"My manuscript MS-2024-4321 was submitted 6 weeks ago. Is it still being reviewed?",review_delay,medium,MS-2024-4321,"Yes, MS-2024-4321 is actively under review. Both reviewers confirmed they are working on their reports. The reviews are due by November 17, 2024. We appreciate your patience during this process.","['active_review', 'timeline_update']",2024-09-28,2.0
CASE_0023,"I received conflicting reviews for MS-2024-5432. What happens next?",decision_timeline,medium,MS-2024-5432,"When reviews conflict for MS-2024-5432, the Associate Editor will carefully evaluate both perspectives and may seek a third reviewer's opinion or make an editorial decision based on their expertise. This process typically adds 1-2 weeks to the timeline. You should receive a decision by November 30, 2024.","['conflicting_reviews', 'editorial_decision']",2024-10-12,2.5
CASE_0024,"Can I update my contact information for manuscript MS-2024-6543?",revision_submission,low,MS-2024-6543,"Yes, you can update your contact information for MS-2024-6543. Please log into the submission portal, go to 'My Account' or 'Author Profile', and update your details. Alternatively, email the updated information to editorial@journal.com with your manuscript ID.","['contact_update', 'account_management']",2024-09-18,1.0
CASE_0025,"The editor requested major revisions for MS-2024-7654. Does this mean my paper will likely be accepted?",decision_timeline,low,MS-2024-7654,"Major revisions for MS-2024-7654 indicate that the reviewers and editor see merit in your work but significant improvements are needed. While it's a positive sign, acceptance is not guaranteed and depends on how well you address the reviewer comments. Carefully revised manuscripts have a good chance of acceptance.","['major_revision', 'acceptance_likelihood']",2024-08-15,1.5
CASE_0026,"I accidentally submitted the wrong file for MS-2024-8765. Can I replace it?",revision_submission,high,MS-2024-8765,"Since MS-2024-8765 is still in initial screening (not yet sent to reviewers), we can replace the file. Please upload the correct version through the submission portal immediately and send an email to editorial@journal.com explaining the situation. We'll ensure the reviewers receive the correct version.","['file_replacement', 'urgent_correction']",2024-10-15,1.0
CASE_0027,"My review for MS-2024-9876 has been delayed by 15 weeks. This is completely unacceptable!",review_delay,high,MS-2024-9876,"We sincerely apologize for the unacceptable delay with MS-2024-9876. This has been escalated to the Editor-in-Chief as a priority case. We are assigning new reviewers immediately and will provide a definitive decision timeline within 48 hours. We understand your frustration and are committed to resolving this urgently.","['severe_delay', 'immediate_action']",2024-06-10,4.5
CASE_0028,"Can I add an author to MS-2024-0987 after submission?",revision_submission,medium,MS-2024-0987,"Adding an author to MS-2024-0987 after submission requires approval from the editor and written consent from all current authors. Please submit a formal request to editorial@journal.com explaining the justification and include confirmation emails from all existing authors agreeing to the addition.","['author_addition', 'approval_required']",2024-09-22,2.0
CASE_0029,"What does 'under editorial consideration' mean for MS-2024-1098?",status_inquiry,low,MS-2024-1098,"'Under editorial consideration' for MS-2024-1098 means the editor is reviewing your manuscript to assess its suitability for the journal and to select appropriate reviewers. This phase typically takes 3-5 business days, after which your manuscript will be sent out for peer review.","['editorial_screening', 'status_explanation']",2024-10-18,1.5
CASE_0030,"I need to correct a critical error in MS-2024-2109 that's currently under review.",revision_submission,high,MS-2024-2109,"Since MS-2024-2109 is currently under review, please immediately contact the handling editor at editorial@journal.com with details of the critical error. Depending on the nature and severity, the editor may pause the review process to allow you to submit a corrected version. Time is of the essence in this situation.","['critical_correction', 'urgent_contact']",2024-10-20,1.0
CASE_0031,"How can I track the progress of my manuscript MS-2024-3120?",status_inquiry,low,MS-2024-3120,"You can track MS-2024-3120 by logging into the submission portal and checking the 'My Submissions' section. The status will show the current stage (e.g., 'Under Review', 'With Editor', 'Decision Pending'). You'll also receive email notifications at key milestones throughout the process.","['tracking_instructions', 'portal_guidance']",2024-09-08,1.0
